Ngày,Cá nhân trong nước,,,,,,Cá nhân nước ngoài,,,,,,Tổ chức trong nước,,,,,,Tổ chức nước ngoài,,,,,,Cá nhân trong nước (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức trong nước (khớp lệnh + thỏa thuận),,,,,,,,Tổ chức nước ngoài (khớp lệnh + thỏa thuận),,,,,,,,Cá nhân trong nước (Ròng),,,,Cá nhân nước ngoài (Ròng),,,,Tổ chức trong nước (Ròng),,,,Tổ chức nước ngoài (Ròng),,,
,Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),Tổng KL mua (CP),Tổng GT mua (nghìn VND),Tổng KL bán (CP),Tổng GT bán (nghìn VND),Tổng KL ròng (CP),Tổng GT ròng (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL mua khớp lệnh (CP),GT mua khớp lệnh (nghìn VND),KL bán khớp lệnh (CP),GT bán khớp lệnh (nghìn VND),KL mua thỏa thuận (CP),GT mua thỏa thuận (nghìn VND),KL bán thỏa thuận (CP),GT bán thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND),KL ròng khớp lệnh (CP),GT ròng khớp lệnh (nghìn VND),KL ròng thỏa thuận (CP),GT ròng thỏa thuận (nghìn VND)
Tổng,844772277026,19535073312127.508,842132208467,19496728754863.996,2640068559,38344557263.513,3244791936,76966218779.191,3355240342,80946799311.014,-110448406,-3980580531.823,59425471138,1813151190175.393,63561060052,1837253394790.797,-4135588914,-24102204615.404,60729933650,2294509666740.388,65540341236,2423477604635.954,-4810407586,-128967937895.566,762999551371,17411876549204.67,755507189849,17291585484623.748,59137063743,1451907574306.886,58377677498,1458687956411.573,2675614079,63992241379.389,2823464941,68334130484.026,419302355,8031883729.603,408096563,8074944227.39,41198404217,1291748184590.688,42414121871,1279723226315.144,14665462032,367200295921.689,17846846250,426376754741.204,40484685022,1419107354268.354,46322970639,1616526861443.95,16616181117,680887088930.624,16194424071,654128426054.31,7492361522,120291064580.922,759386245,-6780382104.687,-147850862,-4341889104.637,11205792,-43060497.787,-1215717654,12024958275.544,-3181384218,-59176458819.515,-5838285617,-197419507175.596,421757046,26758662876.314
Trung bình,378991600,8764052629.936,377807181,8746850047.045,1184418,17202582.89,1455716,34529483.525,1505267,36315298.03,-49550,-1785814.505,26660148,813437052.568,28515504,824250064.957,-1855356,-10813012.389,27245371,1029389711.413,29403472,1087248813.205,-2158101,-57859101.792,359905448,8213149315.662,356371315,8156408247.464,27894841,684862063.352,27536640,688060356.797,1262082,30185019.518,1331823,32233080.416,197784,3788624.4,192498,3808935.956,19433209,609315181.41,20006661,603643031.28,6917670,173207686.755,8418323,201121110.726,19096549,669390261.447,21850457,762512670.492,7837821,321173155.155,7638879,308551144.365,3534133,56741068.198,358201,-3198293.445,-69741,-2048060.898,5286,-20311.556,-573452,5672150.13,-1500653,-27913423.971,-2753908,-93122409.045,198942,12622010.79
24-02-2025,719359195,17538548423.798,713389408,17123214782.949,5969787,415333640.849,2449282,71872735.3,3429324,87117359.34,-980042,-15244624.04,56974527,1655782025.569,60105041,1805575775.23,-3130514,-149793749.661,51295330,1794418274.349,53154561,2044713541.498,-1859231,-250295267.149,654966586,15617518466.878,653932500,15319041739.446,64392609,1921029956.919,59456908,1804173043.499,2449282,71872735.3,3429324,87117359.34,0,0,0,0,41875927,1288846602.369,39209340,1278725541.81,15098600,366935423.2,20895701,526850233.42,46092130,1534708104.849,48812761,1828061268.799,5203200,259710169.5,4341800,216652272.7,1034086,298476727.432,4935701,116856913.42,-980042,-15244624.04,0,0,2666587,10121060.559,-5797101,-159914810.22,-2720631,-293353163.95,861400,43057896.8
21-02-2025,604702634,13559331967.557,591326730,13075185761.693,13375904,484146205.864,2317569,56099363.8,2188241,51400012.14,129328,4699351.66,36008498,1043380384.729,53189066,1333235189.49,-17180568,-289854804.761,45855345,1256860404.999,42180009,1455851157.76,3675336,-198990752.761,542725827,12362708362.067,535590165,12035013810.503,61976807,1196623605.49,55736565,1040171951.19,2317569,56099363.8,2188241,51400012.14,0,0,0,0,30006498,874218776.729,43028224,1128526387.19,6002000,169161608,10160842,204708802.3,40895545,1155588299.599,35138809,1233674592.36,4959800,101272105.4,7041200,222176565.4,7135662,327694551.564,6240242,156451654.3,129328,4699351.66,0,0,-13021726,-254307610.461,-4158842,-35547194.3,5756736,-78086292.761,-2081400,-120904460
20-02-2025,614312232,13322677959.786,612754047,12924445046.268,1558185,398232913.518,1828298,44041812.13,3178541,90561296.24,-1350243,-46519484.11,54084989,1578091685.02,53083832,1581635563.689,1001157,-3543878.669,52284076,1323580641.949,53493175,1671750192.68,-1209099,-348169550.731,569574904,12395932282.955,572053914,12192092385.567,44737328,926745676.83,40700133,732352660.7,1728298,41400812.13,3178541,90561296.24,100000,2641000,0,0,51558989,1470153115.019,43990637,1308796147.559,2526000,107938570,9093195,272839416.13,42706176,1059181745.249,46345275,1375218125.98,9577900,264398896.7,7147900,296532066.7,-2479010,203839897.388,4037195,194393016.13,-1450243,-49160484.11,100000,2641000,7568352,161356967.46,-6567195,-164900846.13,-3639099,-316036380.731,2430000,-32133170
19-02-2025,633972391,13870648834.411,663526388,14448880823.164,-29553997,-578231988.753,1279151,34919004.1,3990408,96012287.63,-2711257,-61093283.53,61664254,1624710213.699,53932825,1399885556.22,7731429,224824657.479,72954394,1944100029.8,48420569,1529599414.988,24533825,414500614.812,584024355,12471919397.611,611045581,12930772138.613,49948036,1398729436.798,52480807,1518108684.55,1279151,34919004.1,3990408,96012287.63,0,0,0,0,47302854,1258423123.699,37596411,1098195652.17,14361400,366287090,16336414,301689904.05,59276494,1566997507.799,39250454,1207278954.788,13677900,377102522,9170115,322320460.2,-27021226,-458852741.002,-2532771,-119379247.752,-2711257,-61093283.53,0,0,9706443,160227471.529,-1975014,64597185.95,20026040,359718553.011,4507785,54782061.8
18-02-2025,553032164,11676127261.727,565146129,11706233956.564,-12113965,-30106694.837,1761180,44862248.45,1636323,41416778.45,124857,3445470,47462402,1192618766.67,39118071,1018688673.139,8344331,173930093.531,50415793,1320120871.55,46771016,1467389740.236,3644777,-147268868.686,487480316,10432504742.238,498905843,10452312475.814,65551848,1243622519.488,66240286,1253921480.75,1713154,43620776.35,1588297,40175306.35,48026,1241472.1,48026,1241472.1,44064402,1132716046.67,34408539,955392825.899,3398000,59902720,4709532,63295847.24,43355193,1170497588.55,41710386,1331458545.736,7060600,149623283,5060630,135931194.5,-11425527,-19807733.576,-688438,-10298961.262,124857,3445470,0,0,9655863,177323220.771,-1311532,-3393127.24,1644807,-160960957.186,1999970,13692088.5
17-02-2025,710125761,15144353778.256,728535635,14923314220.604,-18409874,221039557.652,1397271,25475331.7,2619867,65071512.76,-1222596,-39596181.06,53638044,1313903127.528,32288762,933850882.329,21349282,380052245.199,51629018,1170233771.898,53345830,1731729393.688,-1716812,-561495621.79,602569269,13026926803.553,623040644,12858395868.404,107556492,2117426974.699,105494991,2064918352.199,1397271,25475331.7,2619867,65071512.76,0,0,0,0,50751044,1258466177.528,28374561,831845075.429,2887000,55436950,3914201,102005806.9,48671418,1090980935.498,49353930,1646536791.688,2957600,79252836.4,3991900,85192602,-20471375,168530935.149,2061501,52508622.5,-1222596,-39596181.06,0,0,22376483,426621102.099,-1027201,-46568856.9,-682512,-555555856.19,-1034300,-5939765.6
14-02-2025,502781722,11902858740.186,527628913,12039270126.207,-24847191,-136411386.021,1995650,50011875.999,2038007,53506960.15,-42357,-3495084.151,52451343,1409932861.389,36346404,1094185007.619,16104939,315747853.77,53084810,1480043186,44300201,1655884569.6,8784609,-175841383.6,476906835,11219852333.713,500721667,11397827798.808,25874887,683006406.469,26907246,641442327.4,1995650,50011875.999,2038007,53506960.15,0,0,0,0,46268343,1275454781.389,27288463,831546108.55,6183000,134478080,9057941,262638899.07,47382510,1354313600,42505201,1616751723.6,5702300,125729586,1795000,39132846,-23814832,-177975465.095,-1032359,41564079.069,-42357,-3495084.151,0,0,18979880,443908672.839,-2874941,-128160819.07,4877309,-262438123.6,3907300,86596740
13-02-2025,388890957,9543476377.939,392554198,9473930885.936,-3663241,69545492.003,936507,27079213.3,755035,19793675.479,181472,7285537.821,38093274,1068185534.6,30787375,904813520.318,7305899,163372014.282,35575753,1067120424.699,39399883,1307323468.798,-3824130,-240203044.099,356310990,8862110160.238,358252534,8747312733.735,32579967,681366217.699,34301664,726618152.2,906507,25849213.3,755035,19793675.479,30000,1230000,0,0,35887452,1011518554.6,25910250,817311324.518,2205822,56666980,4877125,87502195.8,29824553,906553319.099,38011683,1221613513.499,5751200,160567105.6,1388200,85709955.3,-1941544,114797426.503,-1721697,-45251934.501,151472,6055537.821,30000,1230000,9977202,194207230.082,-2671303,-30835215.8,-8187130,-315060194.4,4363000,74857150.3
